"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.100,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.1,190000.50961375,2138139.60958982,2667210.24350512,2457355.29236779,3003768.66553073
Fmult(2017) = 0.110,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.11,208083.878322227,2135263.98992886,2667210.24350512,2439881.56748018,2988267.4028798
Fmult(2017) = 0.120,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.12,226007.216224203,2132393.21643551,2667210.24350512,2422593.07235948,2972905.74550802
Fmult(2017) = 0.130,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.13,243772.126946572,2129527.28039727,2667210.24350512,2405487.60438575,2957682.27474186
Fmult(2017) = 0.140,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.14,261380.197384269,2126666.17311769,2667210.24350512,2388562.9881409,2942595.58685182
Fmult(2017) = 0.150,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.15,278832.997878603,2123809.88591636,2667210.24350512,2371817.07506642,2927644.29289208
Fmult(2017) = 0.160,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.16,296132.082393655,2120958.41012887,2667210.24350512,2355247.74312552,2912827.01854194
Fmult(2017) = 0.170,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.17,313278.988690767,2118111.7371068,2667210.24350512,2338852.89646953,2898142.40394886
Fmult(2017) = 0.180,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.18,330275.238501149,2115269.85821765,2667210.24350512,2322630.46510856,2883589.10357337
Fmult(2017) = 0.190,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.19,347122.337696616,2112432.76484486,2667210.24350512,2306578.40458637,2869165.78603553
Fmult(2017) = 0.200,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.2,363821.776458482,2109600.44838774,2667210.24350512,2290694.69565937,2854871.13396309
Fmult(2017) = 0.210,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.21,380375.029444632,2106772.90026146,2667210.24350512,2274977.34397968,2840703.84384138
Fmult(2017) = 0.220,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.22,396783.555954778,2103950.11189703,2667210.24350512,2259424.37978229,2826662.62586469
Fmult(2017) = 0.230,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.23,413048.800093946,2101132.07474123,2667210.24350512,2244033.85757611,2812746.2037894
Fmult(2017) = 0.240,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.24,429172.190934178,2098318.78025663,2667210.24350512,2228803.85583904,2798953.31478861
Fmult(2017) = 0.250,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.25,445155.142674504,2095510.21992152,2667210.24350512,2213732.47671684,2785282.7093084
Fmult(2017) = 0.260,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.26,460999.054799176,2092706.38522992,2667210.24350512,2198817.84572592,2771733.15092563
Fmult(2017) = 0.270,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.27,476705.312234195,2089907.26769151,2667210.24350512,2184058.11145983,2758303.41620726
Fmult(2017) = 0.280,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.28,492275.285502154,2087112.85883163,2667210.24350512,2169451.4452995,2744992.29457128
Fmult(2017) = 0.290,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.29,507710.330875399,2084323.15019123,2667210.24350512,2154996.04112721,2731798.58814905
