"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.150,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0685508726184447,131502.584634456,2139187.13329563,2658309.15551512,2525385.68818638,3045301.86642917
Fmult(2017) = 0.160,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0731209307930077,139985.911972095,2137871.28636987,2658309.15551512,2518099.19862103,3038025.60838396
Fmult(2017) = 0.170,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0776909889675707,148434.719469624,2136556.45334243,2658309.15551512,2510814.58115636,3030779.47978499
Fmult(2017) = 0.180,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0822610471421336,156849.165841963,2135242.63338003,2658309.15551512,2503532.02886431,3023563.34016939
Fmult(2017) = 0.190,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0868311053166966,165229.409044639,2133929.82565004,2658309.15551512,2496251.73363194,3016377.04975272
Fmult(2017) = 0.200,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0914011634912596,173575.606277495,2132618.02932057,2658309.15551512,2488973.88615557,3009220.46942563
Fmult(2017) = 0.210,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0959712216658225,181887.913988389,2131307.24356042,2658309.15551512,2481698.67593512,3002093.46075055
Fmult(2017) = 0.220,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.100541279840386,190166.487876861,2129997.4675391,2658309.15551512,2474426.29126852,2994995.88595841
Fmult(2017) = 0.230,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.105111338014948,198411.482897791,2128688.70042679,2658309.15551512,2467156.91924632,2987927.60794531
Fmult(2017) = 0.240,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.109681396189512,206623.053265039,2127380.94139441,2658309.15551512,2459890.74574633,2980888.49026928
Fmult(2017) = 0.250,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.114251454364074,214801.352455059,2126074.18961354,2658309.15551512,2452627.95542855,2973878.397147
Fmult(2017) = 0.260,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.118821512538637,222946.533210508,2124768.4442565,2658309.15551512,2445368.73173007,2966897.19345059
Fmult(2017) = 0.270,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.1233915707132,231058.747543824,2123463.70449626,2658309.15551512,2438113.25686022,2959944.74470435
Fmult(2017) = 0.280,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.127961628887763,239138.146740795,2122159.96950653,2658309.15551512,2430861.71179579,2953020.9170816
Fmult(2017) = 0.290,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.132531687062326,247184.881364106,2120857.23846169,2658309.15551512,2423614.27627644,2946125.57740145
Fmult(2017) = 0.300,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.137101745236889,255199.10125687,2119555.51053682,2658309.15551512,2416371.12880016,2939258.59312565
Fmult(2017) = 0.310,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.141671803411452,263180.955546142,2118254.78490771,2658309.15551512,2409132.44661895,2932419.8323554
Fmult(2017) = 0.320,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.146241861586015,271130.592646415,2116955.06075082,2658309.15551512,2401898.40573455,2925609.16382826
Fmult(2017) = 0.330,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.150811919760578,279048.160263096,2115656.33724333,2658309.15551512,2394669.18089439,2918826.45691497
Fmult(2017) = 0.340,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.155381977935141,286933.805395973,2114358.6135631,2658309.15551512,2387444.94558761,2912071.58161636
Fmult(2017) = 0.350,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.159952036109704,294787.674342653,2113061.88888868,2658309.15551512,2380225.87204119,2905344.40856024
Fmult(2017) = 0.360,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.164522094284267,302609.912701992,2111766.16239932,2658309.15551512,2373012.13121629,2898644.80899836
Fmult(2017) = 0.370,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.16909215245883,310400.665377506,2110471.43327495,2658309.15551512,2365803.89280468,2891972.65480329
Fmult(2017) = 0.380,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.173662210633393,318160.076580762,2109177.7006962,2658309.15551512,2358601.32522524,2885327.81846541
Fmult(2017) = 0.390,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.178232268807956,325888.289834758,2107884.9638444,2658309.15551512,2351404.5956207,2878710.17308985
Fmult(2017) = 0.400,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.182802326982519,333585.447977278,2106593.22190156,2658309.15551512,2344213.86985446,2872119.59239348
Fmult(2017) = 0.410,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.187372385157082,341251.69316424,2105302.47405036,2658309.15551512,2337029.31250746,2865555.9507019
Fmult(2017) = 0.420,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.191942443331645,348887.166873018,2104012.7194742,2658309.15551512,2329851.08687533,2859019.12294648
Fmult(2017) = 0.430,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.196512501506208,356492.009905756,2102723.95735716,2658309.15551512,2322679.35496557,2852508.98466131
Fmult(2017) = 0.440,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.201082559680771,364066.362392659,2101436.186884,2658309.15551512,2315514.27749483,2846025.41198034
Fmult(2017) = 0.450,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.205652617855334,371610.363795273,2100149.40724016,2658309.15551512,2308356.01388641,2839568.28163434
Fmult(2017) = 0.460,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.210222676029897,379124.152909743,2098863.61761178,2658309.15551512,2301204.72226783,2833137.47094804
Fmult(2017) = 0.470,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.21479273420446,386607.867870061,2097578.8171857,2658309.15551512,2294060.55946852,2826732.85783717
Fmult(2017) = 0.480,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.219362792379023,394061.646151293,2096295.0051494,2658309.15551512,2286923.68101763,2820354.32080557
Fmult(2017) = 0.490,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.223932850553586,401485.624572792,2095012.18069109,2658309.15551512,2279794.24114203,2814001.73894232
Fmult(2017) = 0.500,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.228502908728149,408879.939301399,2093730.34299965,2658309.15551512,2272672.39276436,2807674.99191883
Fmult(2017) = 0.510,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.233072966902712,416244.725854616,2092449.49126462,2658309.15551512,2265558.28750122,2801373.95998603
Fmult(2017) = 0.520,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.237643025077275,423580.119103782,2091169.62467625,2658309.15551512,2258452.0756615,2795098.52397146
Fmult(2017) = 0.530,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.242213083251838,430886.253277214,2089890.74242547,2658309.15551512,2251353.90624483,2788848.56527652
