"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.510,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.1457601504129,496370.271809971,4061536.21194774,4835755.90416082,4177051.29337841,4866295.48238868
Fmult(2017) = 0.520,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.148618192577859,505481.688089984,4060003.75661147,4835755.90416082,4168124.12190432,4858562.44005179
Fmult(2017) = 0.530,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.151476234742818,514570.389161108,4058472.0158145,4835755.90416082,4159190.78011745,4850849.17272019
Fmult(2017) = 0.540,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.154334276907776,523636.439276023,4056940.9891967,4835755.90416082,4150251.44639672,4843155.62359035
Fmult(2017) = 0.550,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.157192319072735,532679.902496399,4055410.67639809,4835755.90416082,4141306.29863993,4835481.73602925
Fmult(2017) = 0.560,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.160050361237694,541700.842693486,4053881.0770589,4835755.90416082,4132355.51425853,4827827.45357383
Fmult(2017) = 0.570,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.162908403402653,550699.323548687,4052352.19081956,4835755.90416082,4123399.27017246,4820192.71993052
Fmult(2017) = 0.580,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.165766445567612,559675.408554143,4050824.01732066,4835755.90416082,4114437.74280503,4812577.47897468
Fmult(2017) = 0.590,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.16862448773257,568629.161013304,4049296.556203,4835755.90416082,4105471.10807779,4804981.67475011
Fmult(2017) = 0.600,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.171482529897529,577560.644041511,4047769.80710756,4835755.90416082,4096499.54140554,4797405.25146849
Fmult(2017) = 0.610,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.174340572062488,586469.920566562,4046243.76967549,4835755.90416082,4087523.2176913,4789848.15350893
Fmult(2017) = 0.620,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.177198614227447,595357.053329289,4044718.44354817,4835755.90416082,4078542.31132138,4782310.32541739
Fmult(2017) = 0.630,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.180056656392406,604222.104884122,4043193.82836711,4835755.90416082,4069556.99616047,4774791.71190621
Fmult(2017) = 0.640,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.182914698557365,613065.137599666,4041669.92377407,4835755.90416082,4060567.44554681,4767292.2578536
Fmult(2017) = 0.650,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.185772740722323,621886.213659257,4040146.72941094,4835755.90416082,4051573.83228732,4759811.9083031
Fmult(2017) = 0.660,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.188630782887282,630685.395061533,4038624.24491984,4835755.90416082,4042576.3286529,4752350.60846309
Fmult(2017) = 0.670,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.191488825052241,639462.743620996,4037102.46994304,4835755.90416082,4033575.10637368,4744908.30370631
Fmult(2017) = 0.680,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.1943468672172,648218.32096857,4035581.40412304,4835755.90416082,4024570.33663436,4737484.93956931
Fmult(2017) = 0.690,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.197204909382159,656952.188552163,4034061.04710249,4835755.90416082,4015562.19006957,4730080.46175198
Fmult(2017) = 0.700,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.200062951547118,665664.407637223,4032541.39852424,4835755.90416082,4006550.83675931,4722694.81611704
Fmult(2017) = 0.710,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.202920993712076,674355.039307295,4031022.45803133,4835755.90416082,3997536.44622442,4715327.94868953
Fmult(2017) = 0.720,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.205779035877035,683024.144464576,4029504.22526697,4835755.90416082,3988519.18742208,4707979.80565633
Fmult(2017) = 0.730,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.208637078041994,691671.783830462,4027986.69987458,4835755.90416082,3979499.22874139,4700650.33336566
Fmult(2017) = 0.740,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.211495120206953,700298.017946107,4026469.88149776,4835755.90416082,3970476.73799898,4693339.47832656
Fmult(2017) = 0.750,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.214353162371912,708902.907172963,4024953.76978028,4835755.90416082,3961451.88243464,4686047.18720845
Fmult(2017) = 0.760,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.21721120453687,717486.511693335,4023438.36436611,4835755.90416082,3952424.82870707,4678773.40684058
Fmult(2017) = 0.770,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.220069246701829,726048.891510922,4021923.66489941,4835755.90416082,3943395.74288959,4671518.08421157
Fmult(2017) = 0.780,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.222927288866788,734590.106451362,4020409.67102451,4835755.90416082,3934364.79046597,4664281.16646894
Fmult(2017) = 0.790,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.225785331031747,743110.216162775,4018896.38238593,4835755.90416082,3925332.13632626,4657062.60091857
Fmult(2017) = 0.800,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.228643373196706,751609.280116301,4017383.79862839,4835755.90416082,3916297.94476269,4649862.33502426
Fmult(2017) = 0.810,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.231501415361665,760087.357606642,4015871.91939679,4835755.90416082,3907262.37946561,4642680.31640722
Fmult(2017) = 0.820,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.234359457526623,768544.507752599,4014360.7443362,4835755.90416082,3898225.60351948,4635516.49284563
Fmult(2017) = 0.830,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.237217499691582,776980.789497603,4012850.27309189,4835755.90416082,3889187.77939891,4628370.81227409
Fmult(2017) = 0.840,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.240075541856541,785396.261610255,4011340.50530931,4835755.90416082,3880149.06896474,4621243.2227832
Fmult(2017) = 0.850,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.2429335840215,793790.982684854,4009831.4406341,4835755.90416082,3871109.63346018,4614133.67261904
Fmult(2017) = 0.860,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.245791626186459,802165.01114193,4008323.07871209,4835755.90416082,3862069.63350698,4607042.11018274
Fmult(2017) = 0.870,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.248649668351417,810518.405228771,4006815.41918927,4835755.90416082,3853029.22910168,4599968.48402995
Fmult(2017) = 0.880,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.251507710516376,818851.22301995,4005308.46171183,4835755.90416082,3843988.57961185,4592912.74287043
Fmult(2017) = 0.890,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.254365752681335,827163.522417854,4003802.20592617,4835755.90416082,3834947.84377244,4585874.8355675
Fmult(2017) = 0.900,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.257223794846294,835455.361153205,4002296.65147883,4835755.90416082,3825907.17968215,4578854.71113765
Fmult(2017) = 0.910,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.260081837011253,843726.796785582,4000791.79801656,4835755.90416082,3816866.74479985,4571852.31875
Fmult(2017) = 0.920,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.262939879176212,851977.886703945,3999287.64518629,4835755.90416082,3807826.69594103,4564867.6077259
Fmult(2017) = 0.930,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.26579792134117,860208.688127151,3997784.19263514,4835755.90416082,3798787.18927435,4557900.52753839
Fmult(2017) = 0.940,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.268655963506129,868419.258104473,3996281.4400104,4835755.90416082,3789748.38031817,4550951.0278118
Fmult(2017) = 0.950,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.271514005671088,876609.653516115,3994779.38695956,4835755.90416082,3780710.42393717,4544019.05832126
Fmult(2017) = 0.960,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.274372047836047,884779.931073728,3993278.03313028,4835755.90416082,3771673.47433902,4537104.56899222
Fmult(2017) = 0.970,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.277230090001006,892930.147320922,3991777.37817041,4835755.90416082,3762637.68507108,4530207.50990003
Fmult(2017) = 0.980,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.280088132165965,901060.358633777,3990277.421728,4835755.90416082,3753603.20901717,4523327.83126945
Fmult(2017) = 0.990,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.282946174330923,909170.621221352,3988778.16345125,4835755.90416082,3744570.19839433,4516465.48347419
Fmult(2017) = 1.000,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.285804216495882,917260.991126195,3987279.60298856,4835755.90416082,3735538.80474974,4509620.41703647
Fmult(2017) = 1.010,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.288662258660841,925331.524224848,3985781.73998853,4835755.90416082,3726509.17895755,4502792.58262658
Fmult(2017) = 1.020,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.2915203008258,933382.276228352,3984284.57409992,4835755.90416082,3717481.47121587,4495981.93106239
Fmult(2017) = 1.030,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.294378342990759,941413.30268275,3982788.10497169,4835755.90416082,3708455.83104376,4489188.4133089
Fmult(2017) = 1.040,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.297236385155717,949424.658969591,3981292.33225296,4835755.90416082,3699432.40727824,4482411.98047784
Fmult(2017) = 1.050,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.300094427320676,957416.400306428,3979797.25559307,4835755.90416082,3690411.34807143,4475652.58382714
Fmult(2017) = 1.060,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.302952469485635,965388.581747316,3978302.8746415,4835755.90416082,3681392.80088767,4468910.17476058
Fmult(2017) = 1.070,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.305810511650594,973341.258183312,3976809.18904795,4835755.90416082,3672376.91250067,4462184.70482724
Fmult(2017) = 1.080,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.308668553815553,981274.484342969,3975316.19846228,4835755.90416082,3663363.8289908,4455476.12572114
Fmult(2017) = 1.090,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.311526595980512,989188.31479283,3973823.90253454,4835755.90416082,3654353.69574234,4448784.38928074
Fmult(2017) = 1.100,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.31438463814547,997082.803937922,3972332.30091497,4835755.90416082,3645346.6574408,4442109.44748853
Fmult(2017) = 1.110,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.317242680310429,1004958.00602224,3970841.39325397,4835755.90416082,3636342.85807034,4435451.25247059
Fmult(2017) = 1.120,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.320100722475388,1012813.97512926,3969351.17920216,4835755.90416082,3627342.44091114,4428809.75649611
Fmult(2017) = 1.130,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.322958764640347,1020650.76518238,3967861.65841031,4835755.90416082,3618345.54853691,4422184.91197701
Fmult(2017) = 1.140,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.325816806805306,1028468.42994547,3966372.83052937,4835755.90416082,3609352.32281238,4415576.67146746
Fmult(2017) = 1.150,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.328674848970264,1036267.0230233,3964884.6952105,4835755.90416082,3600362.9048909,4408984.98766346
Fmult(2017) = 1.160,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.331532891135223,1044046.59786204,3963397.25210503,4835755.90416082,3591377.43521204,4402409.8134024
Fmult(2017) = 1.170,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.334390933300182,1051807.20774978,3961910.50086446,4835755.90416082,3582396.05349922,4395851.10166265
Fmult(2017) = 1.180,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.337248975465141,1059548.90581695,3960424.44114048,4835755.90416082,3573418.89875746,4389308.80556308
Fmult(2017) = 1.190,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.3401070176301,1067271.74503683,3958939.07258497,4835755.90416082,3564446.10927113,4382782.87836269
Fmult(2017) = 1.200,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.342965059795059,1074975.77822606,3957454.39484998,4835755.90416082,3555477.82260171,4376273.27346014
Fmult(2017) = 1.210,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.345823101960017,1082661.05804503,3955970.40758774,4835755.90416082,3546514.1755857,4369779.94439333
Fmult(2017) = 1.220,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.348681144124976,1090327.63699845,3954487.11045068,4835755.90416082,3537555.30433248,4363302.84483898
Fmult(2017) = 1.230,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.351539186289935,1097975.56743576,3953004.50309138,4835755.90416082,3528601.34422223,4356841.92861221
Fmult(2017) = 1.240,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.354397228454894,1105604.90155161,3951522.58516264,4835755.90416082,3519652.42990397,4350397.1496661
Fmult(2017) = 1.250,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.357255270619853,1113215.69138637,3950041.35631742,4835755.90416082,3510708.69529358,4343968.46209129
Fmult(2017) = 1.260,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.360113312784812,1120807.98882655,3948560.81620885,4835755.90416082,3501770.27357184,4337555.82011554
Fmult(2017) = 1.270,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.36297135494977,1128381.8456053,3947080.96449026,4835755.90416082,3492837.29718262,4331159.17810331
Fmult(2017) = 1.280,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.365829397114729,1135937.31330284,3945601.80081516,4835755.90416082,3483909.89783102,4324778.49055537
Fmult(2017) = 1.290,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.368687439279688,1143474.44334699,3944123.32483722,4835755.90416082,3474988.20648157,4318413.71210833
Fmult(2017) = 1.300,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.371545481444647,1150993.28701354,3942645.53621033,4835755.90416082,3466072.35335655,4312064.79753429
Fmult(2017) = 1.310,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.374403523609606,1158493.89542681,3941168.43458851,4835755.90416082,3457162.46793427,4305731.70174038
Fmult(2017) = 1.320,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.377261565774564,1165976.31956004,3939692.019626,4835755.90416082,3448258.67894742,4299414.37976835
Fmult(2017) = 1.330,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.380119607939523,1173440.61023586,3938216.29097721,4835755.90416082,3439361.11438149,4293112.78679418
Fmult(2017) = 1.340,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.382977650104482,1180886.81812678,3936741.24829673,4835755.90416082,3430469.90147322,4286826.87812764
Fmult(2017) = 1.350,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.385835692269441,1188314.99375563,3935266.89123932,4835755.90416082,3421585.16670908,4280556.60921193
