"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.150,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0427767941353288,153649.018587829,4249272.53501613,5019115.76239567,4663394.0071637,5349041.72177707
Fmult(2017) = 0.160,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0456285804110174,163688.233982402,4247707.52385139,5019115.76239567,4654748.51625456,5340497.95191042
Fmult(2017) = 0.170,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.048480366686706,173702.351316546,4246143.23820338,5019115.76239567,4646089.44454981,5331976.06710895
Fmult(2017) = 0.180,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0513321529623945,183691.441716161,4244579.67770724,5019115.76239567,4637416.98431764,5323476.00442717
Fmult(2017) = 0.190,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0541839392380831,193655.576095631,4243016.84199832,5019115.76239567,4628731.32757321,5314997.70110851
Fmult(2017) = 0.200,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0570357255137717,203594.82515847,4241454.73071215,5019115.76239567,4620032.66607196,5306541.0945848
Fmult(2017) = 0.210,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0598875117894603,213509.259397966,4239893.34348443,5019115.76239567,4611321.19130296,5298106.12247564
Fmult(2017) = 0.220,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0627392980651489,223398.949097816,4238332.67995108,5019115.76239567,4602597.09448223,5289692.72258788
Fmult(2017) = 0.230,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0655910843408375,233263.96433277,4236772.7397482,5019115.76239567,4593860.56654617,5281300.832915
Fmult(2017) = 0.240,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0684428706165261,243104.374969264,4235213.52251207,5019115.76239567,4585111.79814498,5272930.39163654
Fmult(2017) = 0.250,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0712946568922146,252920.250666057,4233655.02787917,5019115.76239567,4576350.97963615,5264581.33711759
Fmult(2017) = 0.260,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0741464431679032,262711.660874861,4232097.25548617,5019115.76239567,4567578.30107796,5256253.60790812
Fmult(2017) = 0.270,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0769982294435918,272478.674840973,4230540.20496992,5019115.76239567,4558793.95222306,5247947.14274251
Fmult(2017) = 0.280,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0798500157192804,282221.361603905,4228983.87596747,5019115.76239567,4549998.122512,5239661.88053892
Fmult(2017) = 0.290,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.082701801994969,291939.789998006,4227428.26811605,5019115.76239567,4541191.00106694,5231397.76039876
Fmult(2017) = 0.300,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0855535882706576,301634.028653092,4225873.38105308,5019115.76239567,4532372.77668525,5223154.72160612
Fmult(2017) = 0.310,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0884053745463462,311304.145995067,4224319.21441618,5019115.76239567,4523543.63783327,5214932.7036272
Fmult(2017) = 0.320,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0912571608220347,320950.210246542,4222765.76784315,5019115.76239567,4514703.77264002,5206731.64610977
Fmult(2017) = 0.330,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0941089470977234,330572.289427456,4221213.04097198,5019115.76239567,4505853.368891,5198551.48888259
Fmult(2017) = 0.340,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0969607333734119,340170.451355692,4219661.03344084,5019115.76239567,4496992.61402204,5190392.1719549
Fmult(2017) = 0.350,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0998125196491005,349744.763647695,4218109.74488811,5019115.76239567,4488121.69511312,5182253.63551579
Fmult(2017) = 0.360,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.102664305924789,359295.293719081,4216559.17495233,5019115.76239567,4479240.79888234,5174135.81993374
Fmult(2017) = 0.370,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.105516092200478,368822.108785249,4215009.32327227,5019115.76239567,4470350.11167984,5166038.66575599
Fmult(2017) = 0.380,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.108367878476166,378325.275861994,4213460.18948683,5019115.76239567,4461449.81948176,5157962.11370806
Fmult(2017) = 0.390,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.111219664751855,387804.861766112,4211911.77323516,5019115.76239567,4452540.10788434,5149906.10469314
Fmult(2017) = 0.400,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.114071451027543,397260.933116005,4210364.07415655,5019115.76239567,4443621.16209793,5141870.5797916
Fmult(2017) = 0.410,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.116923237303232,406693.556332287,4208817.0918905,5019115.76239567,4434693.16694116,5133855.48026041
Fmult(2017) = 0.420,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.119775023578921,416102.797638383,4207270.82607669,5019115.76239567,4425756.30683507,5125860.74753263
Fmult(2017) = 0.430,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.122626809854609,425488.723061133,4205725.27635501,5019115.76239567,4416810.76579728,5117886.32321684
Fmult(2017) = 0.440,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.125478596130298,434851.398431388,4204180.44236551,5019115.76239567,4407856.72743632,5109932.14909662
Fmult(2017) = 0.450,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.128330382405986,444190.889384604,4202636.32374843,5019115.76239567,4398894.37494582,5101998.16713
Fmult(2017) = 0.460,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.131182168681675,453507.261361443,4201092.92014422,5019115.76239567,4389923.89109889,5094084.31944897
Fmult(2017) = 0.470,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.134033954957364,462800.579608359,4199550.23119349,5019115.76239567,4380945.45824249,5086190.54835887
Fmult(2017) = 0.480,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.136885741233052,472070.909178192,4198008.25653705,5019115.76239567,4371959.25829183,5078316.79633794
Fmult(2017) = 0.490,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.139737527508741,481318.314930759,4196466.99581591,5019115.76239567,4362965.47272483,5070463.00603671
Fmult(2017) = 0.500,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.142589313784429,490542.861533436,4194926.44867124,5019115.76239567,4353964.28257663,5062629.12027757
Fmult(2017) = 0.510,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.145441100060118,499744.613461749,4193386.61474442,5019115.76239567,4344955.86843412,5054815.08205413
Fmult(2017) = 0.520,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.148292886335806,508923.634999955,4191847.493677,5019115.76239567,4335940.41043053,5047020.8345308
Fmult(2017) = 0.530,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.151144672611495,518079.990241622,4190309.08511073,5019115.76239567,4326918.0882401,5039246.3210422
Fmult(2017) = 0.540,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.153996458887184,527213.743090213,4188771.38868754,5019115.76239567,4317889.0810727,5031491.48509266
Fmult(2017) = 0.550,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.156848245162872,536324.957259662,4187234.40404955,5019115.76239567,4308853.56766857,5023756.27035571
Fmult(2017) = 0.560,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.159700031438561,545413.69627495,4185698.13083907,5019115.76239567,4299811.72629313,5016040.62067355
Fmult(2017) = 0.570,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.162551817714249,554480.023472681,4184162.56869858,5019115.76239567,4290763.73473171,5008344.48005653
Fmult(2017) = 0.580,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.165403603989938,563524.002001654,4182627.71727076,5019115.76239567,4281709.77028448,5000667.79268265
Fmult(2017) = 0.590,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.168255390265627,572545.694823434,4181093.57619847,5019115.76239567,4272650.00976131,4993010.50289703
Fmult(2017) = 0.600,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.171107176541315,581545.164712924,4179560.14512477,5019115.76239567,4263584.62947671,4985372.55521141
Fmult(2017) = 0.610,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.173958962817004,590522.474258928,4178027.42369289,5019115.76239567,4254513.80524485,4977753.89430363
Fmult(2017) = 0.620,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.176810749092692,599477.68586472,4176495.41154626,5019115.76239567,4245437.71237458,4970154.46501714
Fmult(2017) = 0.630,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.179662535368381,608410.861748607,4174964.10832847,5019115.76239567,4236356.52566451,4962574.21236048
Fmult(2017) = 0.640,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.182514321644069,617322.063944494,4173433.51368332,5019115.76239567,4227270.41939811,4955013.08150677
Fmult(2017) = 0.650,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.185366107919758,626211.354302439,4171903.62725479,5019115.76239567,4218179.56733896,4947471.01779321
Fmult(2017) = 0.660,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.188217894195447,635078.794489219,4170374.44868705,5019115.76239567,4209084.14272586,4939947.96672058
Fmult(2017) = 0.670,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.191069680471135,643924.445988881,4168845.97762444,5019115.76239567,4199984.31826821,4932443.87395275
Fmult(2017) = 0.680,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.193921466746824,652748.3701033,4167318.2137115,5019115.76239567,4190880.26614122,4924958.68531615
Fmult(2017) = 0.690,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.196773253022512,661550.627952735,4165791.15659296,5019115.76239567,4181772.15798132,4917492.34679933
Fmult(2017) = 0.700,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.199625039298201,670331.280476375,4164264.8059137,5019115.76239567,4172660.16488157,4910044.80455238
Fmult(2017) = 0.710,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.20247682557389,679090.388432897,4162739.16131883,5019115.76239567,4163544.45738706,4902616.00488651
Fmult(2017) = 0.720,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.205328611849578,687828.012401009,4161214.22245362,5019115.76239567,4154425.20549045,4895205.89427353
Fmult(2017) = 0.730,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.208180398125267,696544.212779999,4159689.98896352,5019115.76239567,4145302.57862751,4887814.41934536
